ID_Ubicación	Estado	Municipio
1	AGUASCALIENTES	AGUASCALIENTES
2	AGUASCALIENTES	ASIENTOS
3	AGUASCALIENTES	CALVILLO
4	AGUASCALIENTES	COSÍO
5	AGUASCALIENTES	JESUS MARIA
6	AGUASCALIENTES	PABELLON DE ARTEAGA
7	AGUASCALIENTES	RINCON DE ROMOS
8	AGUASCALIENTES	SAN JOSE DE GRACIA
9	AGUASCALIENTES	TEPEZALÁ
10	AGUASCALIENTES	EL LLANO
11	AGUASCALIENTES	SAN FRANCISCO DE LOS ROMO
12	BAJA CALIFORNIA	ENSENADA
13	BAJA CALIFORNIA	MEXICALI
14	BAJA CALIFORNIA	TECATE
15	BAJA CALIFORNIA	TIJUANA
16	BAJA CALIFORNIA	PLAYAS DE ROSARITO
17	BAJA CALIFORNIA SUR	COMONDU
18	BAJA CALIFORNIA SUR	MULEGE
19	BAJA CALIFORNIA SUR	LA PAZ
20	BAJA CALIFORNIA SUR	LOS CABOS
21	BAJA CALIFORNIA SUR	LORETO
22	CAMPECHE	CALKINI
23	CAMPECHE	CAMPECHE
24	CAMPECHE	CARMEN
25	CAMPECHE	CHAMPOTON
26	CAMPECHE	HECELCHAKAN
27	CAMPECHE	HOPELCHÉN
28	CAMPECHE	PALIZADA
29	CAMPECHE	TENABO
30	CAMPECHE	ESCARCEGA
31	CAMPECHE	CALAKMUL
32	CAMPECHE	CANDELARIA
33	CHIAPAS	ACACOYAGUA
34	CHIAPAS	ACALA
35	CHIAPAS	ACAPETAHUA
36	CHIAPAS	ALTAMIRANO
37	CHIAPAS	AMATAN
38	CHIAPAS	AMATENANGO DE LA FRONTERA
39	CHIAPAS	AMATENANGO DEL VALLE
40	CHIAPAS	ANGEL ALBINO CORZO
41	CHIAPAS	ARRIAGA
42	CHIAPAS	BEJUCAL DE OCAMPO
43	CHIAPAS	BELLA VISTA
44	CHIAPAS	BERRIOZABAL
45	CHIAPAS	BOCHIL
46	CHIAPAS	EL BOSQUE
47	CHIAPAS	CACAHOATAN
48	CHIAPAS	CATAZAJA
49	CHIAPAS	CINTALAPA
50	CHIAPAS	COAPILLA
51	CHIAPAS	COMITAN DE DOMINGUEZ
52	CHIAPAS	LA CONCORDIA
53	CHIAPAS	COPAINALA
54	CHIAPAS	CHALCHIHUITAN
55	CHIAPAS	CHAMULA
56	CHIAPAS	CHANAL
57	CHIAPAS	CHAPULTENANGO
58	CHIAPAS	CHENALHO
59	CHIAPAS	CHIAPA DE CORZO
60	CHIAPAS	CHIAPILLA
61	CHIAPAS	CHICOASEN
62	CHIAPAS	CHICOMUSELO
63	CHIAPAS	CHILON
64	CHIAPAS	ESCUINTLA
65	CHIAPAS	FRANCISCO LEON
66	CHIAPAS	FRONTERA COMALAPA
67	CHIAPAS	FRONTERA HIDALGO
68	CHIAPAS	LA GRANDEZA
69	CHIAPAS	HUEHUETAN
70	CHIAPAS	HUIXTAN
71	CHIAPAS	HUITIUPAN
72	CHIAPAS	HUIXTLA
73	CHIAPAS	LA INDEPENDENCIA
74	CHIAPAS	IXHUATAN
75	CHIAPAS	IXTACOMITAN
76	CHIAPAS	IXTAPA
77	CHIAPAS	IXTAPANGAJOYA
78	CHIAPAS	JIQUIPILAS
79	CHIAPAS	JITOTOL
80	CHIAPAS	JUAREZ
81	CHIAPAS	LARRAINZAR
82	CHIAPAS	LA LIBERTAD
83	CHIAPAS	MAPASTEPEC
84	CHIAPAS	LAS MARGARITAS
